Country,State,County,City,Gender,HS_Rank,HS_Class_Size,SType,IUPCollege,Program,HighestTest,GPA,Black,White,Asian,Hawaiian,Indian,Decision,FAFSA
,PA,Clearfield,Houtzdale,F,,,N,FA,ARED,,,N,Y,N,N,N,,N
,PA,Philadelphia,Philadelphia,F,,,N,NM,CHEM-BS,910,3.2,Y,N,N,N,N,AD,N
,PA,Westmoreland,Crabtree,M,,,N,UC,EXPL-HSS,,,N,N,N,N,N,,N
,PA,Butler,Sarver,M,,,N,HH,CRIM-HH,,,N,N,N,N,N,,N
,PA,Indiana,Indiana,M,40,200,N,HH,NURS,1150,3.99,N,Y,N,N,N,AP,Y
,PA,Westmoreland,Vandergrift,F,,,N,UC,EXPL-HSS,790,,N,Y,N,N,N,,N
,PA,Lycoming,Williamsport,F,213,361,N,UC,EXPL-ARTS,870,2.9,N,Y,N,N,N,PC,N
,PA,Montgomery,Perkiomenville,F,,,T,HH,RESP,,,N,Y,N,N,N,,N
,PA,Allegheny,Braddock,F,,,N,HH,CRIM-HH,,,N,Y,N,N,N,,Y
,PA,Bucks,Levittown,F,50,332,T,HS,SOC,,3.53,N,N,N,N,N,AD,Y
,PA,Lebanon,Lebanon,F,52,117,N,HS,SOC,1050,3.02,N,Y,N,N,N,AC,N
,PA,Philadelphia,Philadelphia,M,,,N,BU,HRMG,,,N,N,N,N,N,,Y
,PA,Cambria,South Fork,M,89,133,N,NM,NASC-PCHR,960,3.17,N,Y,N,N,N,AP,Y
,PA,Dauphin,Elizabethville,F,27,89,N,UC,EXPL-HHS,1160,3.71,N,Y,N,N,N,AD,Y
,PA,Cambria,Johnstown,F,8,111,N,HS,SSED-HIST,1190,4,N,Y,N,N,N,AP,Y
,PA,Cambria,Northern Cambria,M,7,72,N,NM,MAED,1170,3.77,N,Y,N,N,N,AP,Y
,PA,Allegheny,Oakmont,M,25,65,N,HH,SHE,1010,3.4,N,Y,N,N,N,AD,N
,PA,Monroe,East Stroudsburg,F,104,482,N,UC,EXPL-BU,1140,3.75,N,Y,N,N,N,AD,Y
,PA,York,Red Lion,F,130,470,N,NM,CHEM-BS,1180,4.22,N,N,Y,N,N,AD,Y
,PA,Westmoreland,Greensburg,M,,,N,HH,NURS,1160,3.6,N,Y,N,N,N,AD,Y
,PA,Northumberland,Elysburg,M,,,N,NM,COSC-SWEN,1110,3.8,N,Y,N,N,N,AD,N
,PA,Lebanon,Lebanon,F,266,376,N,NM,BIOC,990,2.69,N,Y,N,N,N,AC,Y
,PA,Chester,Lincoln University,M,95,440,N,ED,COMM-PROD,1140,3.96,N,Y,N,N,N,AC,Y
,PA,Indiana,Creekside,M,33,99,N,NM,GEOL-ENVR,1160,3.54,N,Y,N,N,N,AP,Y
,VA,Fairfax,Lorton,M,,,N,HS,HIST,1100,2.57,N,Y,N,N,N,AC,N
,PA,Schuylkill,Pine Grove,F,9,119,N,NM,ENVE,1190,4,N,Y,N,N,N,AC,N
,PA,Elk,Kersey,F,11,47,N,HH,NURS,1180,3.9,N,Y,N,N,N,AP,Y
,PA,Mifflin,Belleville,M,56,395,N,HH,NURS,1150,3.9,N,Y,N,N,N,AC,Y
,PA,Indiana,Penn Run,F,9,67,T,ED,ECSP,990,4,N,Y,N,N,N,AP,Y
,PA,Allegheny,Verona,F,,,N,HH,CRIM-HH,870,4,Y,N,N,N,N,AP,Y
,PA,Wayne,Jefferson Township,F,48,242,N,HH,NURS,1150,3.81,N,Y,N,N,N,AD,Y
,PA,Berks,Douglassville,F,41,286,N,HH,NURS,1370,3.9,N,Y,N,N,N,AC,Y
,PA,Washington,Canonsburg,F,46,375,N,FA,MUED,1200,4.16,N,Y,N,N,N,AC,Y
,PA,Berks,Mohnton,F,36,330,N,HH,FSMR,1090,3.81,N,Y,N,N,N,AP,Y
,PA,Allegheny,South Park,F,8,140,N,BU,FIN,1280,4.13,N,Y,N,N,N,AP,Y
,PA,Indiana,Indiana,M,13,195,N,BU,ACCT,1280,4.16,N,Y,N,N,N,AP,Y
,PA,Cumberland,Shippensburg,F,44,210,N,HH,INDS,1050,3.94,N,Y,N,N,N,AC,Y
,PA,Somerset,Davidsville,F,5,20,N,HH,NURS,1100,4.01,N,Y,N,N,N,AC,N
,PA,Cambria,Johnstown,F,29,111,N,ED,ECSP,1120,4,N,Y,N,N,N,AP,Y
,PA,Elk,Johnsonburg,F,30,46,N,HH,NURS,1100,3.21,N,Y,N,N,N,PC,Y
